,0,1
Nathan Trott,400 K €,21 nov. 1998 (24)
Krisztián Hegyi,250 K €,24 sept. 2002 (20)
Joseph Anang,100 K €,8 juin 2000 (23)
Nayef Aguerd,"35,00 mio. €",30 mars 1996 (27)
Kurt Zouma,"22,00 mio. €",27 oct. 1994 (28)
Thilo Kehrer,"18,00 mio. €",21 sept. 1996 (26)
Craig Dawson,"2,00 mio. €",6 mai 1990 (33)
Angelo Ogbonna,900 K €,23 mai 1988 (35)
Jamal Baptiste,250 K €,11 nov. 2003 (19)
Levi Laing,-,12 avr. 2003 (20)
Michael Forbes,-,29 avr. 2004 (19)
Kaelan Casey,-,28 oct. 2004 (18)
Emerson Palmieri,"12,00 mio. €",3 août 1994 (28)
Aaron Cresswell,"1,20 mio. €",15 déc. 1989 (33)
Oliver Scarles,200 K €,12 déc. 2005 (17)
Regan Clayton,150 K €,11 nov. 2004 (18)
