,Unnamed: 0,0,1
434,Keenan Appiah-Forson,300000.0,16 oct. 2001 (21)
435,Freddie Potts,250000.0,12 sept. 2003 (19)
436,Flynn Downes,9000000.0,20 janv. 1999 (24)
437,Dan Chesters,250000.0,4 avr. 2002 (21)
438,Lucas Paquetá,45000000.0,27 août 1997 (25)
439,Pablo Fornals,22000000.0,22 févr. 1996 (27)
440,Nikola Vlašić,17000000.0,4 oct. 1997 (25)
441,Manuel Lanzini,6000000.0,15 févr. 1993 (30)
442,Kamarai Swyer,150000.0,4 déc. 2002 (20)
443,Saïd Benrahma,25000000.0,10 août 1995 (27)
444,Maxwel Cornet,12000000.0,27 sept. 1996 (26)
445,Armstrong Oko-Flex,500000.0,2 mars 2002 (21)
446,Jarrod Bowen,38000000.0,20 déc. 1996 (26)
447,Gianluca Scamacca,22000000.0,1 janv. 1999 (24)
448,Danny Ings,12000000.0,23 juil. 1992 (30)
449,Michail Antonio,7000000.0,28 mars 1990 (33)
450,Divin Mubama,250000.0,25 oct. 2004 (18)
451,Gavin Bazunu,15000000.0,20 févr. 2002 (21)
452,Alex McCarthy,1200000.0,3 déc. 1989 (33)
453,Willy Caballero,150000.0,28 sept. 1981 (41)
454,Armel Bella-Kotchap,20000000.0,11 déc. 2001 (21)
455,Mohammed Salisu,18000000.0,17 avr. 1999 (24)
456,Jan Bednarek,14000000.0,12 avr. 1996 (27)
457,Duje Caleta-Car,11000000.0,17 sept. 1996 (26)
458,Lyanco,3500000.0,1 févr. 1997 (26)
459,Jack Stephens,3500000.0,27 janv. 1994 (29)
460,Dynel Simeu,800000.0,13 mars 2002 (21)
461,Romain Perraud,12000000.0,22 sept. 1997 (25)
462,Juan Larios,7000000.0,12 janv. 2004 (19)
463,Kyle Walker-Peters,25000000.0,13 avr. 1997 (26)
464,Tino Livramento,25000000.0,12 nov. 2002 (20)
465,Yan Valery,2000000.0,22 févr. 1999 (24)
466,James Bree,2000000.0,11 déc. 1997 (25)
467,Lewis Payne,200000.0,30 mai 2004 (19)
468,Roméo Lavia,32000000.0,6 janv. 2004 (19)
469,Ibrahima Diallo,7000000.0,8 mars 1999 (24)
470,Oriol Romeu,5000000.0,24 sept. 1991 (31)
471,James Ward-Prowse,38000000.0,1 nov. 1994 (28)
472,Carlos Alcaraz,15000000.0,30 nov. 2002 (20)
473,Joe Aribo,11000000.0,21 juil. 1996 (26)
